id,focus,signal,slack,drag,confidence,score,lane
l001,retry load,35,33,6,25,131,watch
l002,worker slack,35,34,6,55,163,watch
l003,session drift,35,35,6,85,195,watch
l004,queue pressure,35,36,18,25,77,hold
l005,retry load,35,37,18,55,109,hold
l006,worker slack,35,38,18,85,141,watch
l007,session drift,35,39,34,25,3,hold
l008,queue pressure,35,40,34,55,35,hold
l009,retry load,35,41,34,85,67,hold
l010,worker slack,60,42,6,25,199,watch
l011,session drift,60,43,6,55,231,ship
l012,queue pressure,60,44,6,85,263,ship
l013,retry load,60,45,18,25,145,watch
l014,worker slack,60,46,18,55,177,watch
l015,session drift,60,47,18,85,209,ship
l016,queue pressure,60,48,34,25,71,hold
l017,retry load,60,32,34,55,69,hold
l018,worker slack,60,33,34,85,101,hold
l019,session drift,85,34,6,25,233,ship
l020,queue pressure,85,35,6,55,265,ship
l021,retry load,85,36,6,85,297,ship
l022,worker slack,85,37,18,25,179,watch
l023,session drift,85,38,18,55,211,ship
l024,queue pressure,85,39,18,85,243,ship
l025,retry load,85,40,34,25,105,hold
l026,worker slack,85,41,34,55,137,watch
l027,session drift,85,42,34,85,169,watch
